strategy_family,side,entry_timing,exit_family,rows,unique_clusters,median_sample,max_sample,best_median,median_of_medians,median_p10,best_p10,median_stress,best_stress,positive_p10_rate,positive_stress_rate,best_robust,median_robust,median_top_symbol_share,longform_score
oi_funding_continuation,long,3m,runner_trail,1697,17,133.0,3795,16.351188719272614,9.39701646566391,-5.224158987402916,7.983214408159256,9.128698706626892,16.082870960235596,6.599882144961697,100.0,0.0782295693159103,0.0254632001698017,13.333333333333334,0.757219730941704
premium_basis_overheat,long,30s,indicator_invalidation,267,3,321.0,954,18.546868860721588,15.032416582107544,-0.906839780509472,3.858697786927223,14.764100313186646,18.27855110168457,40.44943820224719,100.0,0.0950864667028188,0.0606096613615751,6.079664570230608,0.751255605381166
cross_channel_continuation,long,1m,breakeven_ratchet,875,6,354.0,392,18.35598051548004,12.435319274663923,-3.2241586595773697,-1.7241587862372398,12.167001515626907,18.087662756443024,0.0,100.0,0.0852832401126623,0.040651141102612,3.389830508474576,0.7430044843049327
premium_basis_overheat,long,30s,failed_continuation,447,4,954.0,1401,20.00238001346588,15.953800082206726,-5.224158987402916,-2.010343223810196,15.685482323169708,19.734062254428864,0.0,100.0,0.0961617594540119,0.0615066121727228,6.079664570230608,0.7412107623318386
contrarian_crash_fade,long,30s,indicator_invalidation,1324,6,341.0,954,18.546868860721588,9.7024567425251,-5.224158987402916,3.858697786927223,9.434138983488085,18.27855110168457,15.407854984894259,100.0,0.0950864667028188,0.020886121636629,17.008797653958943,0.7369058295964125
state_machine_runner,long,3m,runner_trail,2211,13,764.0,3795,18.051189184188843,9.15701538324356,-5.224158987402916,-2.2241588681936264,8.888697624206543,17.782871425151825,0.0,100.0,0.0737084688574075,0.0236026655346155,4.389880952380952,0.7346188340807175
contrarian_crash_fade,long,30s,time_decay,2695,10,341.0,1401,16.526153683662415,7.1311116218566895,-4.224158823490143,0.0726548372767865,6.862793862819672,16.257835924625397,1.7439703153988868,100.0,0.077324901330471,0.0162458596858382,7.209136331192005,0.7271300448430493
cross_channel_continuation,long,3m,breakeven_ratchet,549,4,354.0,392,17.7555650472641,14.911386370658876,-3.2241586595773697,-1.7241587862372398,14.643068611621857,17.48724728822708,0.0,100.0,0.0825182134240865,0.0441973763185739,3.389830508474576,0.7269058295964126
contrarian_crash_fade,long,1m,state_machine,600,8,155.0,3795,16.61331206560135,9.97830405831337,-5.224158987402916,0.1585160731337964,9.709986299276352,16.34499430656433,4.666666666666667,100.0,0.0509304851740598,0.021251587241888,10.75268817204301,0.7242152466367713
freshness_strict_confirmation,long,5m,time_decay,1404,14,441.0,1344,19.248196482658383,5.35205714404583,-4.224158823490143,-1.824158988893032,5.083739385008812,18.97987872362137,0.0,100.0,0.0859000061154365,0.0124025949460268,3.92156862745098,0.7241255605381167
oi_funding_continuation,long,3m,time_decay,1181,8,392.0,1344,16.04085862636566,11.184663325548172,-4.224158823490143,-1.824158988893032,10.916345566511154,15.772542357444763,0.0,100.0,0.0739525584459304,0.0290738451689481,3.459119496855346,0.7219282511210763
premium_basis_overheat,long,5m,state_machine,1138,13,110.0,1012,15.837454795837402,10.69512590765953,-3.0170513316988945,-0.7535084150731564,10.426808148622513,15.569135546684263,0.0,100.0,0.0741789979428052,0.0229754631179571,7.312252964426877,0.7185201793721973
freshness_strict_confirmation,long,30s,runner_trail,2386,6,28.0,116,17.97633171081543,10.39797216653824,-2.2241588681936264,10.99887192249298,10.12965440750122,17.70801544189453,11.316010058675607,100.0,0.1032176452636718,0.0308004259783029,14.285714285714285,0.7123318385650225
contrarian_crash_fade,long,30s,failed_continuation,2443,5,420.0,1401,20.00238001346588,11.326094716787338,-5.224158987402916,-2.010343223810196,11.05777695775032,19.734062254428864,0.0,100.0,0.0961617594540119,0.0351088549041748,6.079664570230608,0.7105829596412556
contrarian_crash_fade,long,30s,partial_ladder,2840,13,341.0,1401,12.718768417835236,5.873363092541695,-2.2241588681936264,4.494784772396088,5.605045333504677,12.450450658798218,7.007042253521127,100.0,0.0632121539682149,0.0173529229158163,6.079664570230608,0.7076681614349776
state_machine_runner,long,T0,breakeven_ratchet,3343,19,206.0,1401,19.77584660053253,1.6994737088680267,-1.363468915224075,4.197158664464951,1.431155949831009,19.507528841495517,1.1666168112473827,100.0,0.1022160455048084,0.0035299120426177,6.079664570230608,0.7043946188340806
message_context_breakout,long,5m,breakeven_ratchet,412,2,227.0,273,19.353583455085754,15.25508463382721,-3.2241586595773697,-1.7241587862372398,14.986766874790192,19.085265696048737,0.0,100.0,0.0874883675903081,0.0460203202396631,3.524229074889868,0.6973094170403588
oi_funding_continuation,long,1m,time_decay,2000,7,335.0,392,16.455386579036713,9.125888347625732,-4.224158823490143,-1.824158988893032,8.857570588588715,16.187068819999695,0.0,100.0,0.0768803935945034,0.0286081322500109,3.459119496855346,0.6966367713004484
premium_basis_overheat,long,1m,time_decay,830,8,149.0,1344,16.823983192443848,10.545598715543749,-4.224158823490143,-1.824158988893032,10.27728095650673,16.55566394329071,0.0,100.0,0.0749418098926544,0.0329785938897728,4.716981132075472,0.6952466367713005
premium_basis_overheat,long,30s,partial_ladder,411,5,420.0,1401,10.446827858686447,6.115811318159103,-5.224158987402916,4.494784772396088,5.847493559122086,10.17851009964943,26.763990267639905,100.0,0.0599871190220117,0.0246722150057554,3.571428571428571,0.6812107623318384
